租房名称,面积,朝向,户型,楼层比例,位置,小区年代,价格
自如友家·朝霞新苑·4居室-02卧,4室1厅,朝南,13.3㎡,5/6,小区距祁连山南路站步行约781米,未知,2460
自如友家·三湘四季花城·3居室-03卧,3室1厅,朝南,12㎡,15/18,小区距松江大学城站步行约546米,板楼,1960
自如友家·百合花苑·4居室-02卧,4室1厅,朝南,11.2㎡,2/24,小区距锦江乐园站步行约1336米,未知,2460
自如友家·小富人家·3居室-03卧,3室1厅,朝南,12.48㎡,4/6,小区距春申路站步行约522米,未知,2230
自如友家·蓝城小区·3居室-01卧,3室1厅,朝南,11.2㎡,3/6,小区距博兴路站步行约639米,未知,2530
自如友家·爱建新家园·4居室-01卧,4室1厅,朝南,12㎡,5/5,小区距彭浦新村站步行约1106米,未知,2190
自如友家·桃林一小区·3居室-01卧,3室1厅,朝南,13㎡,5/6,小区距杨高中路站步行约560米,1998,3160
自如友家·恒大华城上河苑·3居室-03卧,3室1厅,朝南,13.1㎡,1/6,小区距杨思站步行约1054米,板楼,2460
自如友家·莲怡苑·4居室-05卧,4室1厅,朝南,17.7㎡,1/6,小区距北蔡站步行约1190米,2004,2360
自如友家·大宅风范城·4居室-02卧,4室1厅,朝南,10.4㎡,6/6,小区距金运路站步行约938米,未知,2290
自如友家·月季园(徐汇)·3居室-01卧,3室1厅,朝南,12.6㎡,5/6,小区距锦江乐园站步行约1118米,1996,2860
自如友家·灵新小区·2居室-02卧,2室1厅,朝南,12.35㎡,1/6,小区距大柏树站步行约584米,1990,2590
自如友家·三杨新村二街坊·3居室-03卧,3室1厅,朝南,9.6㎡,16/16,小区距杨思站步行约670米,板楼,2590
自如友家·伟业金锦苑一村·3居室-01卧,3室1厅,朝南,14.04㎡,1/6,小区距东陆路站步行约572米,未知,2390
自如友家·龙柏四村·3居室-03卧,3室1厅,朝南,13.1㎡,3/6,小区距龙柏新村站步行约743米,1996,2630
自如友家·宜嘉苑·6居室-07卧,6室1厅,朝南,16.38㎡,6/6,小区距杨高北路站步行约1053米,未知,2260
自如友家·金鹏苑·2居室-01卧,2室1厅,朝南,13.5㎡,3/6,小区距金桥路站步行约998米,未知,2490
自如友家·利丰苑·3居室-03卧,3室1厅,朝南,13㎡,4/6,小区距延长路站步行约817米,板楼,3130
自如友家·泰宸苑·3居室-01卧,3室1厅,朝南,13.2㎡,1/7,小区距祁连山南路站步行约653米,板楼,2360
自如友家·三泉家园·3居室-03卧,3室1厅,朝南,12.7㎡,1/6,小区距共康路站步行约1211米,未知,2390
自如友家·双桥小区·3居室-01卧,3室1厅,朝南,15㎡,6/6,小区距巨峰路站步行约1028米,未知,2190
自如友家·春港丽园(公寓)·4居室-02卧,4室1厅,朝南,12㎡,1/6,小区距广兰路站步行约1165米,板楼,2530
自如友家·静安新城十一区·3居室-01卧,3室1厅,朝南,12.3㎡,4/6,小区距合川路站步行约1341米,板楼,2860
自如友家·金桥一方·4居室-05卧,4室1厅,朝南,13.24㎡,1/11,小区距杨高北路站步行约997米,未知,2330
自如友家·新世纪公寓·3居室-03卧,3室1厅,朝南,12.17㎡,18/18,小区距延长路站步行约528米,塔楼,3190
自如友家·巴黎之春·4居室-03卧,4室1厅,朝北,11.65㎡,6/6,小区距上海西站站步行约542米,2003,2360
自如友家·建华新苑·4居室-02卧,4室1厅,朝南,11.51㎡,3/16,小区距世纪公园站步行约279米,2003,2930
自如友家·佳龙花园·4居室-02卧,4室1厅,朝南,11.1㎡,1/18,小区距黄兴公园站步行约394米,2005,2490
自如友家·文华苑(宝山)·3居室-03卧,3室1厅,朝南,7.63㎡,6/6,小区距大华三路站步行约900米,2000,2230
自如友家·经纬学士逸居家园(五期)·3居室-03卧,3室1厅,朝南,12.8㎡,2/11,小区距上大路站步行约1260米,2017,2090
自如友家·绿地香缇·4居室-01卧,4室1厅,朝南,13.8㎡,16/16,小区距泗泾站步行约1390米,板楼,2330
自如友家·崂山新村·2居室-01卧,2室1厅,朝南,9㎡,3/6,小区距浦东大道站步行约207米,1977,2990
自如友家·中新家园·4居室-05卧,4室1厅,朝南,11.5㎡,6/6,小区距杨高中路站步行约754米,1998,2660
自如友家·爱建新家园·4居室-01卧,4室1厅,朝南,12㎡,5/5,小区距彭浦新村站步行约1106米,未知,2190
自如友家·黎明花园·3居室-01卧,3室1厅,朝南,14.85㎡,6/6,小区距七宝站步行约1619米,未知,2290
自如友家·宜嘉苑·3居室-01卧,3室1厅,朝南,13.5㎡,3/11,小区距杨高北路站步行约1053米,未知,2290
自如友家·小富人家·3居室-03卧,3室1厅,朝南,12.48㎡,4/6,小区距春申路站步行约522米,未知,2230
自如友家·蓝城小区·3居室-01卧,3室1厅,朝南,11.2㎡,3/6,小区距博兴路站步行约639米,未知,2530
自如友家·爱建新家园·4居室-01卧,4室1厅,朝南,12㎡,5/5,小区距彭浦新村站步行约1106米,未知,2190
自如友家·新华联奥莱悦府·3居室-03卧,3室1厅,朝南,11.5㎡,2/12,小区距嘉松中路站步行约1399米,未知,2090
自如友家·万达城市公寓·3居室-03卧,3室1厅,朝南,11.6㎡,1/17,小区距金运路站步行约927米,未知,2230
自如友家·崮山小区四街坊·3居室-01卧,3室1厅,朝南,13㎡,5/6,小区距芳甸路站步行约1123米,1997,2290
自如友家·高行绿洲(六期)·3居室-03卧,3室1厅,朝南,12.2㎡,4/14,小区距外高桥保税区南站步行约1384米,板楼,2090
自如友家·绿地泾南公寓·3居室-03卧,3室1厅,朝南,12.4㎡,4/6,小区距杨高中路站步行约394米,板楼,3190
自如友家·普雄馨苑·3居室-01卧,3室1厅,朝南,13.11㎡,3/6,小区距曹杨路站步行约646米,板楼,3260
自如友家·嘉城新航域·4居室-01卧,4室1厅,朝南,13.6㎡,2/6,小区距桃浦新村站步行约2117米,未知,2360
自如友家·建德花园紫荆苑·3居室-01卧,3室1厅,朝南,12.1㎡,6/6,小区距丰庄站步行约1034米,板楼,2260
自如友家·阳光美景城·4居室-05卧,4室1厅,朝南,16㎡,4/14,小区距锦江乐园站步行约600米,未知,2930
自如友家·香山苑·3居室-02卧,3室1厅,朝南,12.5㎡,23/24,小区距金沙江路站步行约996米,1996,2760
自如友家·欧五小区·3居室-01卧,3室1厅,朝南,13.7㎡,4/5,小区距曲阳路站步行约769米,板楼,3190
自如友家·万科优诗美地·4居室-05卧,4室1厅,朝南,11.55㎡,4/11,小区距中春路站步行约963米,2000,2230
自如友家·金沙嘉年华·3居室-03卧,3室1厅,朝南,14.5㎡,1/6,小区距祁连山南路站步行约611米,未知,2730
自如友家·开发浦东·3居室-01卧,3室1厅,朝南,13.8㎡,3/25,小区距商城路站步行约635米,2002,3390
自如友家·滨浦新苑三村·4居室-01卧,4室1厅,朝南,14.9㎡,6/6,小区距联航路站步行约1262米,板楼,2230
自如友家·中芯花园18弄·4居室-05卧,4室1厅,朝南,12.8㎡,4/6,小区距广兰路站步行约1155米,板楼,2890
自如友家·罗山一村·3居室-01卧,3室1厅,朝南,10.4㎡,3/6,小区距德平路站步行约1326米,未知,2530
自如友家·东城新村·3居室-01卧,3室1厅,朝南,13.27㎡,5/6,小区距芳华路站步行约1354米,2004,2490
自如友家·金球花园·4居室-02卧,4室1厅,朝南,15.8㎡,2/6,小区距航中路站步行约821米,1996,2390
自如友家·葑润华庭·4居室-05卧,4室1厅,朝南,14.2㎡,6/6,小区距祁华路站步行约646米,未知,2060
自如友家·绿洲康城金邸·4居室-02卧,4室1厅,朝南,11.5㎡,8/18,小区距御桥站步行约1024米,板楼,2660
自如友家·恒力锦沧花园·5居室-06卧,5室2厅,朝南,13.4㎡,1/14,小区距上海西站站步行约758米,2003,2590
自如友家·和瑞雅苑·3居室-03卧,3室1厅,朝南,9.7㎡,15/20,小区距宁国路站步行约671米,未知,2660
自如友家·大上海国际花园五区·3居室-01卧,3室1厅,朝南,14.3㎡,6/7,小区距合川路站步行约917米,板楼,2790
自如友家·新都名园·4居室-01卧,4室1厅,朝南,13.4㎡,10/11,小区距中春路站步行约803米,2010,3130
自如友家·丽华公寓(公寓)·3居室-03卧,3室1厅,朝南,14.6㎡,1/7,小区距莘庄站步行约1313米,未知,2360
自如友家·文化花园明珠苑·4居室-02卧,4室1厅,朝南,11.9㎡,1/9,小区距江湾镇站步行约663米,板楼,2530
自如友家·河风丽景·3居室-03卧,3室1厅,朝南,15.87㎡,10/14,小区距北新泾站步行约456米,2007,3060
自如友家·新世纪花苑(三期)(浦东)·4居室-02卧,4室1厅,朝南,13.2㎡,5/6,小区距长清路站步行约747米,板楼,2790
自如友家·欧风花都·4居室-05卧,4室1厅,朝南,18.6㎡,5/6,小区距东兰路站步行约918米,2008,2890
自如友家·小富人家·3居室-03卧,3室1厅,朝南,12.48㎡,4/6,小区距春申路站步行约522米,未知,2230
自如友家·蓝城小区·3居室-01卧,3室1厅,朝南,11.2㎡,3/6,小区距博兴路站步行约639米,未知,2530
自如友家·爱建新家园·4居室-01卧,4室1厅,朝南,12㎡,5/5,小区距彭浦新村站步行约1106米,未知,2190
自如友家·梅川四街坊·3居室-01卧,3室1厅,朝南,11.9㎡,1/6,小区距真北路站步行约1859米,1996,2690
自如友家·静安新城十二区·3居室-03卧,3室1厅,朝南,15.2㎡,3/6,小区距星中路站步行约1139米,未知,2930
自如友家·仁德路67弄10支弄·3居室-02卧,3室1厅,朝南,14.61㎡,1/6,小区距江湾镇站步行约602米,未知,2690
